epoch,accuracy,loss,val_accuracy,val_loss
0,0.16860118508338928,3.2601945400238037,0.23839285969734192,2.9196367263793945
1,0.29144346714019775,2.7214443683624268,0.3247023820877075,2.607334613800049
2,0.3467261791229248,2.4903182983398438,0.3598214387893677,2.449007511138916
3,0.3782738149166107,2.3630857467651367,0.3839285671710968,2.358788251876831
4,0.39940476417541504,2.2729640007019043,0.37589284777641296,2.3140366077423096
5,0.4147321283817291,2.1967716217041016,0.3958333432674408,2.259671926498413
6,0.41912201046943665,2.1616947650909424,0.40625,2.21644926071167
7,0.4314732253551483,2.109905481338501,0.4226190447807312,2.178280830383301
8,0.441220223903656,2.0756168365478516,0.4154762029647827,2.1759824752807617
9,0.4500744044780731,2.037956476211548,0.42023810744285583,2.1753993034362793
10,0.4571428596973419,2.0176727771759033,0.4285714328289032,2.1455843448638916
11,0.46443453431129456,1.9896384477615356,0.4312500059604645,2.12467622756958
12,0.4698660671710968,1.9594085216522217,0.43958333134651184,2.0956034660339355
13,0.47075891494750977,1.9444735050201416,0.42946428060531616,2.143317461013794
14,0.4749999940395355,1.93114173412323,0.4318452477455139,2.1071958541870117
